File,WaveData20200720_025.csv,
Date/Time,20-07-20/11:04,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.477500,1.1410E-005,1544.477500,1.1410E-005
1544.480000,1.1440E-005,1544.480000,1.1440E-005
1544.482500,1.1440E-005,1544.482500,1.1440E-005
1544.485000,1.1450E-005,1544.485000,1.1450E-005
1544.487500,1.1420E-005,1544.487500,1.1420E-005
1544.490000,1.1380E-005,1544.490000,1.1380E-005
1544.492500,1.1360E-005,1544.492500,1.1360E-005
1544.495000,1.1370E-005,1544.495000,1.1370E-005
1544.497500,1.1380E-005,1544.497500,1.1380E-005
1544.500000,1.1300E-005,1544.500000,1.1300E-005
1544.502500,1.1380E-005,1544.502500,1.1380E-005
1544.505000,1.1460E-005,1544.505000,1.1460E-005
1544.507500,1.1440E-005,1544.507500,1.1440E-005
1544.510000,1.1490E-005,1544.510000,1.1490E-005
1544.512500,1.1460E-005,1544.512500,1.1460E-005
1544.515000,1.1480E-005,1544.515000,1.1480E-005
1544.517500,1.1540E-005,1544.517500,1.1540E-005
1544.520000,1.1530E-005,1544.520000,1.1530E-005
1544.522500,1.1510E-005,1544.522500,1.1510E-005
1544.525000,1.1530E-005,1544.525000,1.1530E-005
1544.527500,1.1480E-005,1544.527500,1.1480E-005
1544.530000,1.1550E-005,1544.530000,1.1550E-005
1544.532500,1.1520E-005,1544.532500,1.1520E-005
1544.535000,1.1580E-005,1544.535000,1.1580E-005
1544.537500,1.1510E-005,1544.537500,1.1510E-005
1544.540000,1.1610E-005,1544.540000,1.1610E-005
1544.542500,1.1580E-005,1544.542500,1.1580E-005
1544.545000,1.1620E-005,1544.545000,1.1620E-005
1544.547500,1.1690E-005,1544.547500,1.1690E-005
1544.550000,1.1720E-005,1544.550000,1.1720E-005
1544.552500,1.1700E-005,1544.552500,1.1700E-005
1544.555000,1.1730E-005,1544.555000,1.1730E-005
1544.557500,1.1820E-005,1544.557500,1.1820E-005
1544.560000,1.1790E-005,1544.560000,1.1790E-005
1544.562500,1.1750E-005,1544.562500,1.1750E-005
1544.565000,1.1720E-005,1544.565000,1.1720E-005
1544.567500,1.1790E-005,1544.567500,1.1790E-005
1544.570000,1.1800E-005,1544.570000,1.1800E-005
1544.572500,1.1800E-005,1544.572500,1.1800E-005
1544.575000,1.1810E-005,1544.575000,1.1810E-005
1544.577500,1.1820E-005,1544.577500,1.1820E-005
1544.580000,1.1910E-005,1544.580000,1.1910E-005
1544.582500,1.1890E-005,1544.582500,1.1890E-005
1544.585000,1.1960E-005,1544.585000,1.1960E-005
1544.587500,1.1960E-005,1544.587500,1.1960E-005
1544.590000,1.2040E-005,1544.590000,1.2040E-005
1544.592500,1.1980E-005,1544.592500,1.1980E-005
1544.595000,1.2030E-005,1544.595000,1.2030E-005
1544.597500,1.2020E-005,1544.597500,1.2020E-005
1544.600000,1.2030E-005,1544.600000,1.2030E-005
1544.602500,1.2110E-005,1544.602500,1.2110E-005
1544.605000,1.2110E-005,1544.605000,1.2110E-005
1544.607500,1.2080E-005,1544.607500,1.2080E-005
1544.610000,1.2070E-005,1544.610000,1.2070E-005
1544.612500,1.2090E-005,1544.612500,1.2090E-005
1544.615000,1.2130E-005,1544.615000,1.2130E-005
1544.617500,1.2200E-005,1544.617500,1.2200E-005
1544.620000,1.2180E-005,1544.620000,1.2180E-005
1544.622500,1.2170E-005,1544.622500,1.2170E-005
1544.625000,1.2230E-005,1544.625000,1.2230E-005
1544.627500,1.2240E-005,1544.627500,1.2240E-005
1544.630000,1.2180E-005,1544.630000,1.2180E-005
1544.632500,1.2250E-005,1544.632500,1.2250E-005
1544.635000,1.2170E-005,1544.635000,1.2170E-005
1544.637500,1.2210E-005,1544.637500,1.2210E-005
1544.640000,1.2280E-005,1544.640000,1.2280E-005
1544.642500,1.2240E-005,1544.642500,1.2240E-005
1544.645000,1.2250E-005,1544.645000,1.2250E-005
1544.647500,1.2280E-005,1544.647500,1.2280E-005
1544.650000,1.2250E-005,1544.650000,1.2250E-005
1544.652500,1.2340E-005,1544.652500,1.2340E-005
1544.655000,1.2310E-005,1544.655000,1.2310E-005
1544.657500,1.2300E-005,1544.657500,1.2300E-005
1544.660000,1.2290E-005,1544.660000,1.2290E-005
1544.662500,1.2320E-005,1544.662500,1.2320E-005
1544.665000,1.2320E-005,1544.665000,1.2320E-005
1544.667500,1.2350E-005,1544.667500,1.2350E-005
1544.670000,1.2310E-005,1544.670000,1.2310E-005
1544.672500,1.2280E-005,1544.672500,1.2280E-005
1544.675000,1.2240E-005,1544.675000,1.2240E-005
1544.677500,1.2280E-005,1544.677500,1.2280E-005
1544.680000,1.2300E-005,1544.680000,1.2300E-005
1544.682500,1.2350E-005,1544.682500,1.2350E-005
1544.685000,1.2250E-005,1544.685000,1.2250E-005
1544.687500,1.2350E-005,1544.687500,1.2350E-005
1544.690000,1.2350E-005,1544.690000,1.2350E-005
1544.692500,1.2390E-005,1544.692500,1.2390E-005
1544.695000,1.2300E-005,1544.695000,1.2300E-005
1544.697500,1.2390E-005,1544.697500,1.2390E-005
1544.700000,1.2410E-005,1544.700000,1.2410E-005
1544.702500,1.2350E-005,1544.702500,1.2350E-005
1544.705000,1.2360E-005,1544.705000,1.2360E-005
1544.707500,1.2340E-005,1544.707500,1.2340E-005
1544.710000,1.2320E-005,1544.710000,1.2320E-005
1544.712500,1.2350E-005,1544.712500,1.2350E-005
1544.715000,1.2280E-005,1544.715000,1.2280E-005
1544.717500,1.2340E-005,1544.717500,1.2340E-005
1544.720000,1.2370E-005,1544.720000,1.2370E-005
1544.722500,1.2360E-005,1544.722500,1.2360E-005
1544.725000,1.2430E-005,1544.725000,1.2430E-005
1544.727500,1.2410E-005,1544.727500,1.2410E-005
1544.730000,1.2510E-005,1544.730000,1.2510E-005
1544.732500,1.2490E-005,1544.732500,1.2490E-005
1544.735000,1.2430E-005,1544.735000,1.2430E-005
1544.737500,1.2510E-005,1544.737500,1.2510E-005
1544.740000,1.2440E-005,1544.740000,1.2440E-005
1544.742500,1.2450E-005,1544.742500,1.2450E-005
1544.745000,1.2430E-005,1544.745000,1.2430E-005
1544.747500,1.2500E-005,1544.747500,1.2500E-005
1544.750000,1.2480E-005,1544.750000,1.2480E-005
1544.752500,1.2430E-005,1544.752500,1.2430E-005
1544.755000,1.2420E-005,1544.755000,1.2420E-005
1544.757500,1.2390E-005,1544.757500,1.2390E-005
1544.760000,1.2490E-005,1544.760000,1.2490E-005
1544.762500,1.2560E-005,1544.762500,1.2560E-005
1544.765000,1.2590E-005,1544.765000,1.2590E-005
1544.767500,1.2580E-005,1544.767500,1.2580E-005
1544.770000,1.2520E-005,1544.770000,1.2520E-005
1544.772500,1.2610E-005,1544.772500,1.2610E-005
1544.775000,1.2620E-005,1544.775000,1.2620E-005
1544.777500,1.2590E-005,1544.777500,1.2590E-005
1544.780000,1.2550E-005,1544.780000,1.2550E-005
1544.782500,1.2560E-005,1544.782500,1.2560E-005
1544.785000,1.2540E-005,1544.785000,1.2540E-005
1544.787500,1.2510E-005,1544.787500,1.2510E-005
1544.790000,1.2520E-005,1544.790000,1.2520E-005
1544.792500,1.2590E-005,1544.792500,1.2590E-005
1544.795000,1.2500E-005,1544.795000,1.2500E-005
1544.797500,1.2580E-005,1544.797500,1.2580E-005
1544.800000,1.2640E-005,1544.800000,1.2640E-005
1544.802500,1.2640E-005,1544.802500,1.2640E-005
1544.805000,1.2700E-005,1544.805000,1.2700E-005
1544.807500,1.2620E-005,1544.807500,1.2620E-005
1544.810000,1.2640E-005,1544.810000,1.2640E-005
1544.812500,1.2640E-005,1544.812500,1.2640E-005
1544.815000,1.2650E-005,1544.815000,1.2650E-005
1544.817500,1.2650E-005,1544.817500,1.2650E-005
1544.820000,1.2620E-005,1544.820000,1.2620E-005
1544.822500,1.2560E-005,1544.822500,1.2560E-005
1544.825000,1.2580E-005,1544.825000,1.2580E-005
1544.827500,1.2540E-005,1544.827500,1.2540E-005
1544.830000,1.2550E-005,1544.830000,1.2550E-005
